Date,AAPL,AMZN,BAC,CVX,JNJ,JPM,MSFT,PFE,WMT,XOM
2020-01-02,72.4005126953125,94.90049743652344,30.58755874633789,92.0177230834961,122.63824462890625,119.03644561767578,152.1584014892578,27.494842529296875,36.359214782714844,53.30641555786133
2020-01-03,71.69664001464844,93.74849700927734,29.952465057373047,91.69947814941406,121.21836853027344,117.46554565429688,150.2637481689453,27.34732437133789,36.038238525390625,52.87784194946289
2020-01-06,72.26793670654297,95.14399719238281,29.909557342529297,91.38874816894531,121.06710815429688,117.37215423583984,150.6521759033203,27.31220245361328,35.964866638183594,53.283851623535156
2020-01-07,71.92806243896484,95.34300231933594,29.712162017822266,90.22179412841797,121.80647277832031,115.37679290771484,149.27853393554688,27.22088050842285,35.631656646728516,52.8477783203125
2020-01-08,73.08511352539062,94.59850311279297,30.012535095214844,89.19120788574219,121.78968048095703,116.27680969238281,151.6562957763672,27.438642501831055,35.5093879699707,52.050819396972656
2020-01-09,74.63748168945312,95.05249786376953,30.064035415649414,89.0472183227539,122.15094757080078,116.7013931274414,153.55096435546875,27.319229125976562,35.876224517822266,52.44929122924805
2020-01-10,74.80623626708984,94.15799713134766,29.815147399902344,88.23638153076172,121.87369537353516,115.53810119628906,152.84042358398438,27.740707397460938,35.576637268066406,51.983150482177734
2020-01-13,76.4044189453125,94.56500244140625,30.089780807495117,88.40309143066406,122.411376953125,116.4975814819336,154.6782684326172,27.684511184692383,35.42379379272461,52.47937774658203
2020-01-14,75.37271881103516,93.47200012207031,30.31292152404785,88.13028717041016,123.1003189086914,117.85615539550781,153.5888671875,28.148141860961914,35.51551055908203,52.02825927734375
2020-01-15,75.04969787597656,93.10099792480469,29.75507164001465,88.00147247314453,123.51197052001953,116.09002685546875,154.58352661132812,28.56963348388672,35.24037551879883,51.94554901123047
2020-01-16,75.98981475830078,93.89700317382812,29.7979736328125,88.5773696899414,124.51180267333984,116.5400619506836,157.41603088378906,28.527481079101562,35.42990493774414,51.7425537109375
2020-01-17,76.83110046386719,93.23600006103516,29.78940200805664,87.5846939086914,125.32672882080078,117.34669494628906,158.29705810546875,28.457231521606445,35.142555236816406,51.54706954956055
2020-01-21,76.3104248046875,94.5999984741211,29.403194427490234,85.86451721191406,125.41075897216797,116.19190216064453,157.7286376953125,28.33781623840332,35.335147857666016,50.81026077270508
2020-01-22,76.58280944824219,94.37300109863281,29.489013671875,85.55382537841797,124.55374908447266,116.05606842041016,156.97079467773438,28.232446670532227,35.49104309082031,50.51704025268555
2020-01-23,76.95161437988281,94.22899627685547,29.28304672241211,85.70539093017578,124.7890396118164,115.93716430664062,157.93701171875,28.59772300720215,35.40239334106445,50.20125198364258
