Stock,Total Return (%),Sector
AAPL,246.44753036983334,Technology
AMZN,133.19161545995038,Consumer Discretionary
BAC,39.51680801961003,Financials
CVX,47.153138140811,Energy
JNJ,12.809093193915308,Healthcare
JPM,95.995845496302,Financials
MSFT,176.52675987100892,Technology
PFE,-11.869124957961088,Healthcare
WMT,146.23068085843033,Consumer Staples
XOM,90.10920099439264,Energy
