Date,AAPL,AMZN,BAC,CVX,JNJ,JPM,MSFT,PFE,WMT,XOM
2020-01-02,,,,,,,,,,
2020-01-03,-0.009721929506579796,-0.012139034655920922,-0.02076313753025094,-0.0034585178095882796,-0.011577759474047045,-0.013196798301793766,-0.01245184821717693,-0.005365302885506518,-0.008827920493948871,-0.008039812917701172
2020-01-06,0.007968249164505004,0.01488557393050649,-0.0014325269977466526,-0.0033885686891527156,-0.0012478337879855417,-0.0007950537150006598,0.0025849730165008467,-0.0012842908230327188,-0.0020359454348840567,0.0076782572643623315
2020-01-07,-0.004702974556451633,0.0020916204156393725,-0.006599740759999473,-0.01276912162501731,0.006107064381856153,-0.01700029569292605,-0.009117969651198155,-0.00334363167326146,-0.009264874934954204,-0.008183967373523116
2020-01-08,0.01608622625428846,-0.007808640261289357,0.010109431862023621,-0.011422808121160699,-0.0001378604681694373,0.007800674312275824,0.015928357400984083,0.00799981445643616,-0.0034314620274339402,-0.015080272977786247
2020-01-09,0.02124055213409748,0.0047991747864684076,0.0017159603569369963,-0.0016143918935680457,0.0029663193828661782,0.0036514885141918363,0.012493174578755761,-0.004352014712335817,0.010330691933124525,0.007655438221565669
2020-01-10,0.0022609897040586358,-0.009410596802031268,-0.008278596412826023,-0.009105694790524366,-0.0022697506878113227,-0.00996810663504244,-0.004627393741660102,0.015427897673862656,-0.008350579075204312,-0.008887455600360417
2020-01-13,0.021364297389812048,0.004322578245699482,0.009211204087277824,0.001889355581112806,0.004411793520676444,0.008304449144568071,0.012024599288178006,-0.002025767114132715,-0.0042961754420502984,0.009545925166163816
2020-01-14,-0.01350314744250325,-0.011558211718052602,0.007415830576510851,-0.0030859131263285544,0.0056280876231809,0.011661820754492735,-0.007043014226602695,0.016746933806289777,0.002589128846393063,-0.00859610934063837
2020-01-15,-0.004285647912853352,-0.003969126548924895,-0.018403039231657314,-0.001461639368274703,0.003344033670891422,-0.014985458622099102,0.006476116674614563,0.014974047843256066,-0.0077468980721958625,-0.0015897181120817505
2020-01-16,0.012526591164668144,0.00854991102959346,0.0014418379937677361,0.00654417705308985,0.008095022280923292,0.003876604282081253,0.01832345486322584,-0.0014754268656939074,0.005378189538423284,-0.003907847816741361
2020-01-17,0.011071032456682062,-0.00703966144232826,-0.00028765797505170276,-0.011206878062927195,0.006544971078757289,0.00692150821017079,0.005596807496246026,-0.0024625222710805694,-0.008110371773016434,-0.0037780153347095613
2020-01-21,-0.006776886651839065,0.014629525206926841,-0.012964596619360003,-0.01964015194904556,0.0006704886671649035,-0.009840863316798898,-0.0035908463300532434,-0.0041963071183666045,0.005480324909551415,-0.014293902316736995
2020-01-22,0.003569429003335234,-0.0023995494624704516,0.002918704788909876,-0.0036183960917093305,-0.00683362332481785,-0.0011690465317159004,-0.004804726831167283,-0.0037183376088203435,0.004411902669326784,-0.005770891854525728
2020-01-23,0.004815766544708389,-0.0015259112256781338,-0.006984531654896653,0.0017715812365772798,0.001889068206081701,-0.0010245402535850046,0.006155393702371725,0.01293817503430117,-0.0024978062642173615,-0.006251123729011043
2020-01-24,-0.002881956954659426,-0.012172426638861644,-0.016999234664799467,-0.011052312188717828,-0.0014140074903024047,-0.024827791522518017,-0.010076749470560031,-0.02186202328577902,-0.01243399484404173,-0.0067396116871810685
2020-01-27,-0.029405395214978758,-0.01788746376771211,-0.020572345249213697,-0.013052796635647956,0.0028991219796756784,-0.008411460283976546,-0.016723077493641547,0.008538588386363344,0.013027964357519739,-0.0238237862841727
2020-01-28,0.02828938471940501,0.01362436592451366,0.011872439838141347,0.006612484701640664,0.00504225340590958,0.01817746642854967,0.019596103628111372,-0.050298765185032956,0.006386750266626162,-0.00139014097101553
2020-01-29,0.0209324113548095,0.0025630978623367717,-0.00691987086527035,-0.006749169808623168,0.006956619770872807,-0.0014877064369804849,0.015592552427197592,-0.014682652428287257,-0.006089043553009099,-0.00835284931807656
2020-01-30,-0.0014490145744576743,0.006824489189870775,0.014238603007833417,0.00933196976617312,-0.0011958839153523027,0.012367070492609766,0.028207587971142534,-0.0034947727606559065,0.005953954463134625,0.010606863766636776
2020-01-31,-0.044338771236234864,0.07379135586484753,-0.019414962309754036,-0.038240538128199164,-0.009909365763267508,-0.025977039204288843,-0.01475856519211527,0.004586181812592294,-0.01792773053888308,-0.0412100947311963
2020-02-03,-0.0027464709157647427,-0.0022501685803328897,0.004264538249348027,-0.008026610276666069,0.008732085369139497,0.007630622633716833,0.024378727831713798,0.007249944155972132,-0.0019219060669363186,-0.022375764387056907
2020-02-04,0.033013656251381196,0.022687342140775613,0.019715020025226293,0.005363016020841549,0.009522738329238,0.01439611127272511,0.032916588229839006,0.0047987938097193705,0.008751666600597785,-0.01251462778811474
2020-02-05,0.008154200723154537,-0.004781236737139594,0.03242117838152714,0.03210095356550591,0.015764906386097177,0.017000531314338874,-0.0012214641813386162,0.012735667649505844,0.013359815953942089,0.04602317533944755
2020-02-06,0.011697421344950998,0.0050787328892443195,-0.001152435622329917,-0.007163476158857596,-0.0029867419980459387,0.000145301596155889,0.020733789114017576,0.002357837734994206,-0.004280253285531832,-0.013550231726748518
2020-02-07,-0.013592802203064025,0.014169136390608683,-0.0017306158429617469,-0.005023256977277124,-0.010682227910872255,-0.0031974765987415887,0.0014159159762372475,-0.005488843879504213,0.0012035712312357116,-0.006625851117674775
2020-02-10,0.0047493576029384865,0.026273579599096486,0.002311466684269625,0.007802400431481837,-0.00019753256477383907,0.004155642335318843,0.026156970906061172,-0.006307656424185959,-0.010305071479679295,-0.010560974709870385
2020-02-11,-0.006033025803317549,0.007915025985726132,0.002305943933414767,0.012933738524447902,0.0008561236310213882,0.001887515800239159,-0.02257553846051419,0.007405301179125745,0.001301587067848331,0.009506307826820715
2020-02-12,0.023747564135178534,0.004277469597884664,0.0043141611303643135,0.007463343935502298,-0.005921659491405107,0.0,0.001464192263831876,-0.009188317644900468,0.0038994691527129977,0.012225397713398367
2020-02-13,-0.007121025785926105,-0.00468981707537619,-0.00028658317250818133,-0.0033915357361219423,-0.006618361924470961,-0.0008697402785460273,-0.005414195032757085,-0.021462890407315083,0.013724763645646787,-0.0055492926172406865
2020-02-14,0.0002462881824436547,-0.006977166077050345,-0.0017182731097420412,-0.0026275522855043754,0.0002664546968327297,-0.0030460891806910473,0.008927293051048446,-0.011372823068523275,0.003831732731408799,-0.004595391604893195
2020-02-18,-0.018310622551449773,0.009742990607446878,-0.016643026927365745,0.00145343147514021,-0.0065942067469116905,-0.013240115522384022,0.01014253709423163,-0.0052040839087490465,0.014759281260664503,-0.012695792189524213
2020-02-19,0.014482739233883768,0.006749650094826309,0.013130860034011205,0.00453577643880565,-0.001341186053686494,0.013638887190493998,0.00299959772509939,-0.002477937402942554,-0.016300181022718907,0.007682132813873643
2020-02-20,-0.010258976067430203,-0.007888626914309249,0.003744674422891725,-0.008398208044389288,-0.003826846038922249,0.0,-0.015271436694076934,-0.01048823533339216,8.51503513432661e-05,-0.007955232451001937
